Date,Close
2018-01-01,1063.4427490234375
2018-01-02,1057.6539306640625
2018-01-03,1060.648681640625
2018-01-04,1068.0645751953125
2018-01-05,1080.968017578125
2018-01-08,1091.0977783203125
2018-01-09,1088.9268798828125
2018-01-10,1128.158935546875
2018-01-11,1121.6871337890625
2018-01-12,1115.99951171875
2018-01-15,1103.84033203125
2018-01-16,1145.9462890625
2018-01-17,1161.2607421875
2018-01-18,1173.0184326171875
2018-01-19,1189.53955078125
2018-01-22,1255.6580810546875
2018-01-23,1249.856689453125
2018-01-24,1279.1082763671875
2018-01-25,1257.5318603515625
2018-01-29,1288.8792724609375
2018-01-30,1270.344970703125
2018-01-31,1254.026611328125
2018-02-01,1264.6031494140625
2018-02-02,1270.6671142578125
2018-02-05,1250.3397216796875
2018-02-06,1207.650390625
2018-02-07,1190.6475830078125
2018-02-08,1198.3634033203125
2018-02-09,1197.355712890625
2018-02-12,1195.582763671875
2018-02-14,1173.22119140625
2018-02-15,1178.88232421875
2018-02-16,1181.782958984375
2018-02-19,1177.9755859375
2018-02-20,1186.4970703125
2018-02-21,1225.8017578125
2018-02-22,1228.985107421875
2018-02-23,1239.2996826171875
2018-02-26,1221.531005859375
2018-02-27,1225.822265625
2018-02-28,1222.8809814453125
2018-03-01,1223.9482421875
2018-03-05,1251.407958984375
2018-03-06,1226.003662109375
2018-03-07,1219.818603515625
2018-03-08,1210.350341796875
2018-03-09,1222.4981689453125
2018-03-12,1229.7703857421875
2018-03-13,1163.1478271484375
2018-03-14,1163.188232421875
2018-03-15,1156.2579345703125
2018-03-16,1138.52978515625
2018-03-19,1140.6651611328125
2018-03-20,1154.3040771484375
2018-03-21,1151.0401611328125
2018-03-22,1140.80615234375
2018-03-23,1135.4874267578125
2018-03-26,1135.0242919921875
2018-03-27,1147.393798828125
2018-03-28,1147.978271484375
2018-04-02,1172.354736328125
2018-04-03,1172.99951171875
2018-04-04,1172.8580322265625
2018-04-05,1191.81591796875
2018-04-06,1188.7333984375
2018-04-09,1178.09619140625
2018-04-10,1183.6163330078125
2018-04-11,1214.459716796875
2018-04-12,1264.865234375
2018-04-13,1270.526123046875
2018-04-16,1284.3660888671875
2018-04-17,1275.884765625
2018-04-18,1272.86279296875
2018-04-19,1285.7763671875
2018-04-20,1370.9130859375
2018-04-23,1373.41162109375
2018-04-24,1364.1441650390625
2018-04-25,1398.2315673828125
2018-04-26,1426.033203125
2018-04-27,1390.857666015625
2018-04-30,1423.1522216796875
2018-05-02,1410.117431640625
2018-05-03,1402.9052734375
2018-05-04,1402.462158203125
2018-05-07,1378.367431640625
2018-05-08,1386.526611328125
2018-05-09,1405.9072265625
2018-05-10,1390.5760498046875
2018-05-11,1392.872802734375
2018-05-14,1383.4439697265625
2018-05-15,1403.126708984375
2018-05-16,1407.7603759765625
2018-05-17,1406.914306640625
2018-05-18,1411.0443115234375
2018-05-21,1433.083984375
2018-05-22,1413.8040771484375
2018-05-23,1408.2442626953125
2018-05-24,1452.0010986328125
2018-05-25,1444.7889404296875
2018-05-28,1411.0443115234375
2018-05-29,1419.686767578125
2018-05-30,1415.8997802734375
2018-05-31,1414.6805419921875
2018-06-01,1407.69287109375
2018-06-04,1417.280517578125
2018-06-05,1398.8763427734375
2018-06-06,1402.2490234375
2018-06-07,1410.21142578125
